sitename,cluster,lon,lat,elv,year_start,year_end,years_data,classid,whc,c4,koeppen_code,kgnumber,koeppen_code_extr,homogenous_mbalzarolo
AR-Vir,cGR,-56.1886,-28.2395,1048,2009,2012,4,ENF,302.4275513,NA,Csb,9,Csb,TRUE
AU-Ade,cGR,131.1178,-13.0769,1048,2007,2009,3,WSA,269.2186584,NA,Aw,4,Bwh,TRUE
AU-ASM,cDD,133.249,-22.283,1048,2010,2013,4,ENF,214.5842743,NA,BSh,7,Bsk,TRUE
AU-DaP,cDD,131.3181,-14.0633,1048,2007,2013,7,GRA,294.6303406,NA,Aw,4,Bwh,TRUE
AU-DaS,cGR,131.3881,-14.1593,1048,2008,2014,7,SAV,249.2509155,NA,Aw,4,Bwh,TRUE
AU-Dry,cGR,132.3706,-15.2588,1048,2008,2014,7,SAV,239.1561279,NA,Aw,4,Bwh,TRUE
AU-How,cGR,131.1523,-12.4943,1048,2001,2014,14,WSA,307.5285645,TRUE,Aw,4,Bwh,TRUE
AU-Stp,cDD,133.3502,-17.1507,1048,2008,2014,7,GRA,283.4158936,NA,BSh,5,Bwk,TRUE
AU-Wom,cLS,144.0944,-37.4222,705,2010,2012,3,EBF,189.5709991,NA,Cfb,10,Csc,TRUE
CH-Lae,cNA,8.365,47.4781,689,2004,2014,11,MF,292.4555054,NA,Cfb,10,Csc,TRUE
DE-Kli,cNA,13.5225,50.8929,478,2004,2014,11,CRO,326.19104,TRUE,Cfb,10,Csc,TRUE
DE-Obe,cNA,13.7196,50.7836,735,2008,2014,7,ENF,246.8653564,NA,Cfb,10,Csc,TRUE
DE-Spw,cNA,14.0337,51.8923,63,2010,2014,5,WET,194.3483734,NA,Cfb,10,Csc,TRUE
DE-Tha,cNA,13.5669,50.9636,380,1996,2014,19,ENF,295.663147,NA,Cfb,10,Csc,TRUE
FI-Hyy,cNA,24.295,61.8475,181,1996,2014,19,ENF,255.05896,NA,Dfc,20,Dsd,TRUE
FR-Fon,cLS,2.7801,48.4764,103,2005,2014,10,DBF,335.1929016,NA,Cfb,10,Csc,TRUE
FR-LBr,cGR,-0.7693,44.7171,61,1996,2008,13,ENF,269.5765686,NA,Cfb,10,Csc,TRUE
FR-Pue,cGR,3.5958,43.7414,270,2000,2014,15,EBF,239.649292,NA,Csa,12,Cwb,TRUE
IT-Cpz,cGR,12.3761,41.7052,68,1997,2009,13,EBF,305.0664368,NA,Csa,12,Cwb,TRUE
IT-Ro1,cGR,11.93,42.4081,235,2000,2008,9,DBF,269.2074585,NA,Csa,12,Cwb,TRUE
IT-SRo,cGR,10.2844,43.7279,6,1999,2012,14,ENF,286.2259827,NA,Csa,12,Cwb,TRUE
JP-SMF,cNA,137.0788,35.2617,1048,2002,2006,5,MF,294.9473877,NA,Cfa,9,Csb,TRUE
NL-Loo,cLS,5.7436,52.1666,25,1996,2013,18,ENF,71.05941772,NA,Cfb,10,Csc,TRUE
RU-Fyo,cLS,32.9221,56.4615,265,1998,2014,17,ENF,301.4570923,NA,Dfb,19,Dsc,TRUE
SD-Dem,cDD,30.4783,13.2829,500,2005,2009,5,SAV,200.0503845,NA,BWh,7,Bsk,TRUE
US-Ha1,cNA,-72.1715,42.5378,340,1991,2012,22,DBF,193.8503265,NA,Dfb,19,Dsc,TRUE
US-MMS,cLS,-86.4131,39.3232,275,1999,2014,16,DBF,343.0158081,NA,Cfa,9,Csb,TRUE
US-SRG,cDD,-110.8277,31.7894,1291,2008,2014,7,GRA,154.8731995,NA,BSk,12,Cwb,TRUE
US-SRM,cDD,-110.8661,31.8214,1120,2004,2014,11,WSA,201.2453918,NA,BSk,6,Bsh,TRUE
US-UMB,cLS,-84.7138,45.5598,234,2000,2014,15,DBF,174.0702515,NA,Dfb,19,Dsc,TRUE
US-UMd,cLS,-84.6975,45.5625,239,2007,2014,8,DBF,235.3118286,NA,Dfb,19,Dsc,TRUE
